PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Small- and Mid-Sized Office,DOWNTOWN,1904,1.0,4,66842,0,66842,Office,Retail Store,104.5999985,3457540.0,2151060.0
Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,6,75288,10800,64488,Office,Parking,44.09999847,2891229.0,376.0
Large Office,DOWNTOWN,1904,1.0,7,184322,0,184322,Office,Data Center,52.70000076,9722889.0,0.0
Large Office,DOWNTOWN,2009,1.0,7,287853,0,287853,Office,Retail Store,89.40000153,25482582.0,84524.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1914,1.0,2,64512,0,64512,Office,,94.69999695,2952139.0,3016015.0
Mixed Use Property,GREATER DUWAMISH,2009,1.0,6,286000,111774,174226,Parking,Office,366.3999939,63822136.0,13053.0
Warehouse,GREATER DUWAMISH,1926,1.0,7,144050,0,144050,Non-Refrigerated Warehouse,,27.29999924,2389825.0,1539546.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1930,1.0,3,60592,0,60592,Office,,83.59999847,4788414.0,261032.0
Large Office,GREATER DUWAMISH,1912,0.0,6,1380959,0,1380959,Office,Retail Store,49.29999924,67760546.0,6370020.0
Retail Store,GREATER DUWAMISH,1993,1.0,1,107930,0,107930,Retail Store,,67.0,6136093.0,1085388.0
Warehouse,GREATER DUWAMISH,1926,1.0,1,99084,0,99084,Non-Refrigerated Warehouse,,16.29999924,795088.0,823022.0
Distribution Center,Delridge,1953,1.0,1,72719,0,72719,Distribution Center,,35.5,2045435.0,536307.0
Small- and Mid-Sized Office,EAST,1930,0.0,4,76624,0,76624,Office,,36.20000076,2468547.0,305100.0
Small- and Mid-Sized Office,NORTHEAST,2001,1.0,6,91706,36583,55123,Office,Parking,150.3000031,8570570.0,0.0
Medical Office,LAKE UNION,2008,1.0,5,129093,39902,89191,Medical Office,Parking,203.1999969,11800324.0,7448407.0
Large Office,DELRIDGE,1991,1.0,5,138106,16221,121885,Office,Parking,70.40000153,8381833.0,0.0
Retail Store,GREATER DUWAMISH,1973,1.0,1,56572,0,56572,Retail Store,,42.59999847,1315085.0,1094344.0
Medical Office,EAST,2004,1.0,0,225982,0,225982,Medical Office,,102.6999969,12744957.0,0.0
Mixed Use Property,DOWNTOWN,2006,0.0,0,516407,0,516407,Parking,Multifamily Housing,76.30000305,29432803.0,9970512.0
Large Office,DOWNTOWN,2000,1.0,11,312512,0,312512,Office,Data Center,82.40000153,25619164.0,127855.0
Large Office,DOWNTOWN,2005,1.0,42,1592914,0,1592914,Office,Parking,45.29999924,55123924.0,388532.0
Small- and Mid-Sized Office,DOWNTOWN,1926,1.0,6,97720,0,97720,Office,Data Center,33.70000076,2478025.0,0.0
Medical Office,EAST,1985,1.0,10,422503,206580,215923,Medical Office,,87.40000153,16260654.0,0.0
Medical Office,CENTRAL,1987,1.0,7,94500,0,94500,Medical Office,,50.90000153,5792925.0,0.0
Retail Store,DELRIDGE,2005,0.0,1,94713,0,94713,Retail Store,,49.40000153,4182901.0,1234697.0
Medical Office,EAST,2008,1.0,9,302902,101342,201560,Medical Office,Parking,73.30000305,14155468.0,595647.0
Medical Office,EAST,1973,1.0,19,319911,156407,163504,Medical Office,Parking,88.30000305,11473398.0,0.0
Large Office,DOWNTOWN,1900,1.0,6,205521,0,205521,Office,Retail Store,56.70000076,4325997.0,1743952.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,56700,0,56700,Office,Retail Store,54.29999924,3065954.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1925,1.0,4,72000,0,72000,Office,,37.90000153,2632591.0,96576.0
Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,4,191146,94892,96254,Office,Parking,49.5,5101504.0,0.0
Other,DELRIDGE,2001,1.0,3,68763,11527,57236,Other - Recreation,Parking,180.6000061,3670762.0,5358726.0
Other,SOUTHEAST,1994,3.0,1,102133,0,102133,Strip Mall,Parking,192.8999939,12356956.0,8369038.0
Large Office,DOWNTOWN,2008,1.0,14,362046,0,362046,Office,Parking,66.59999847,15566951.0,158627.0
Other,MAGNOLIA / QUEEN ANNE,1994,3.0,2,81336,0,81336,Lifestyle Center,,160.8000031,9206777.0,3878519.0
Large Office,DOWNTOWN,2001,1.0,23,538933,0,538933,Office,Parking,43.70000076,16020640.0,0.0
Other,DOWNTOWN,1983,1.0,6,275982,197130,78852,Parking,Office,66.40000153,5233553.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1982,1.0,5,98668,0,98668,Office,,44.5,4391348.0,0.0
Large Office,GREATER DUWAMISH,2007,1.0,1,158931,28381,130550,Office,Multifamily Housing,67.69999695,7938248.0,813455.0
Large Office,MAGNOLIA / QUEEN ANNE,1978,1.0,1,105100,0,105100,Office,,210.1000061,17657706.0,4420357.0
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,2008,1.0,1,57176,0,57176,Supermarket/Grocery Store,Retail Store,208.8000031,0.0,0.0
Retail Store,MAGNOLIA / QUEEN ANNE,1978,1.0,1,50660,0,50660,Retail Store,,52.5,1747974.0,913514.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1937,1.0,2,61929,0,61929,Office,,55.20000076,1328054.0,874972.0
Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,4,165111,55000,110111,Office,Parking,231.3999939,25478083.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1925,1.0,3,20565,0,20565,Office,,39.0,802312.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,5,159937,55971,103966,Office,Parking,73.80000305,7857972.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,2008,1.0,5,183964,46763,137201,Office,Parking,108.3000031,14856198.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,1986,1.0,5,208210,78848,129362,Office,Parking,50.09999847,3817281.0,1697027.0
Large Office,DOWNTOWN,1986,1.0,7,277486,80283,197203,Office,Parking,65.90000153,12729856.0,0.0
Large Office,DOWNTOWN,1993,1.0,3,187130,0,187130,Office,Non-Refrigerated Warehouse,52.59999847,10053488.0,0.0
Large Office,DOWNTOWN,2000,1.0,5,251044,117867,133177,Office,Data Center,123.6999969,17186623.0,0.0
Warehouse,DOWNTOWN,1912,1.0,5,154330,0,154330,Non-Refrigerated Warehouse,,13.19999981,1262235.0,0.0
Large Office,DOWNTOWN,1918,1.0,6,108245,14690,93555,Office,Adult Education,45.79999924,4248918.0,0.0
Large Office,DOWNTOWN,1905,1.0,6,167860,0,167860,Office,Retail Store,52.0,6797646.0,0.0
Large Office,DOWNTOWN,1910,1.0,6,112560,0,112560,Office,Retail Store,51.29999924,3574020.0,1372778.0
Retail Store,DOWNTOWN,1910,1.0,6,86204,0,86204,Other,Retail Store,43.5,2235899.0,1006018.0
Warehouse,GREATER DUWAMISH,1985,1.0,2,145158,0,145158,Non-Refrigerated Warehouse,Office,52.29999924,7062138.0,1322385.0
Large Office,GREATER DUWAMISH,1951,1.0,2,112896,0,112896,Office,Parking,92.90000153,8429189.0,1858797.0
Distribution Center,GREATER DUWAMISH,1960,1.0,1,110613,0,110613,Distribution Center,Office,9.199999809,1015060.0,0.0
Warehouse,GREATER DUWAMISH,1951,1.0,4,149881,0,149881,Non-Refrigerated Warehouse,Office,16.10000038,705059.0,1712342.0
Warehouse,GREATER DUWAMISH,1951,1.0,3,98220,0,98220,Non-Refrigerated Warehouse,,50.0,5813591.0,654498.0
Distribution Center,GREATER DUWAMISH,1970,1.0,1,84420,0,84420,Distribution Center,Office,35.0,2848317.0,0.0
Distribution Center,GREATER DUWAMISH,1961,1.0,1,73335,0,73335,Distribution Center,Parking,70.90000153,2606839.0,2590279.0
Distribution Center,GREATER DUWAMISH,1928,1.0,2,56876,0,56876,Distribution Center,Office,31.5,1011283.0,780432.0
Warehouse,GREATER DUWAMISH,1931,1.0,2,61200,0,61200,Non-Refrigerated Warehouse,,80.30000305,1782902.0,3129241.0
Distribution Center,GREATER DUWAMISH,1987,1.0,1,111908,0,111908,Distribution Center,,14.30000019,1050508.0,504912.0
Other,GREATER DUWAMISH,1986,3.0,2,63644,0,63644,Other - Public Services,Parking,104.4000015,4242711.0,2615822.0
Mixed Use Property,GREATER DUWAMISH,1930,3.0,2,108753,18860,89893,Non-Refrigerated Warehouse,Multifamily Housing,33.5,3639670.0,0.0
Supermarket / Grocery Store,NORTHWEST,1970,1.0,1,141890,35545,106345,Supermarket/Grocery Store,Parking,100.0,13051820.0,3814156.0
Small- and Mid-Sized Office,BALLARD,2001,1.0,4,92092,21055,71037,Office,,68.69999695,4817062.0,0.0
Warehouse,MAGNOLIA / QUEEN ANNE,1974,0.0,3,56259,0,56259,Non-Refrigerated Warehouse,Retail Store,41.70000076,817697.0,1528874.0
Other,NORTHEAST,2006,1.0,6,143439,0,143439,Other,Parking,214.3999939,14100771.0,11530741.0
Large Office,LAKE UNION,2008,1.0,4,202623,88855,113768,Office,Parking,79.5,8873484.0,0.0
Small- and Mid-Sized Office,LAKE UNION,2000,1.0,2,77174,25800,51374,Office,,71.0,5481548.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,1998,1.0,5,110524,0,110524,Office,Other,63.90000153,6859197.0,0.0
Mixed Use Property,LAKE UNION,2008,1.0,5,287224,103650,183574,Parking,Office,139.8999939,17407502.0,3635421.0
Laboratory,LAKE UNION,1999,1.0,4,115748,18382,97366,Laboratory,,374.2000122,16913185.0,19523202.0
Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,7,241875,84689,157186,Office,Parking,53.09999847,8488392.0,167210.0
Large Office,MAGNOLIA / QUEEN ANNE,1974,1.0,5,102930,18720,84210,Office,Parking,53.29999924,4059275.0,691523.0
Small- and Mid-Sized Office,DOWNTOWN,1902,1.0,3,76893,0,76893,Office,Parking,113.3000031,8209260.0,3820339.0
Large Office,DOWNTOWN,1975,1.0,8,150000,23630,126370,Office,Parking,73.80000305,8155743.0,1187684.0
Large Office,DOWNTOWN,1953,1.0,7,274362,0,274362,Office,,60.29999924,15836054.0,704494.0
Large Office,DOWNTOWN,1983,1.0,15,378002,116280,261722,Office,Parking,65.69999695,15083312.0,2667680.0
Large Office,DOWNTOWN,1963,1.0,11,169020,0,169020,Office,Bar/Nightclub,65.59999847,7209495.0,1383432.0
Other,DOWNTOWN,1981,1.0,33,429405,0,429405,Data Center,Office,639.7000122,274532495.0,149672.0
Large Office,DOWNTOWN,1985,1.0,76,1952220,319400,1632820,Office,Parking,55.29999924,87851862.0,5085763.0
Large Office,DOWNTOWN,1981,1.0,19,383515,89778,293737,Office,Parking,47.90000153,15878687.0,0.0
Medical Office,DOWNTOWN,1925,1.0,18,363934,28870,335064,Medical Office,Parking,72.90000153,16002341.0,11981.0
Retail Store,DOWNTOWN,1929,1.0,4,78920,0,78920,Retail Store,,105.1999969,7177346.0,1126320.0
Large Office,DOWNTOWN,1979,1.0,7,131143,87160,43983,Office,Retail Store,39.5,4871126.0,1416041.0
Other,DOWNTOWN,1999,1.0,0,947987,0,947987,Other - Mall,Other - Entertainment/Public Assembly,62.29999924,46510954.0,0.0
Mixed Use Property,EAST,1908,1.0,4,55520,0,55520,Office,Performing Arts,66.40000153,973907.0,2713055.0
Large Office,DOWNTOWN,1908,1.0,10,132998,0,132998,Office,Retail Store,27.29999924,2244507.0,0.0
Retail Store,DOWNTOWN,1940,1.0,3,83118,0,83118,Retail Store,,54.29999924,2209419.0,233722.0
Retail Store,DOWNTOWN,1924,1.0,3,77555,0,77555,Retail Store,,106.0999985,7802052.0,153.0
Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,6,51218,0,51218,Office,Restaurant,55.5,2886141.0,0.0
Large Office,DOWNTOWN,1970,1.0,29,489182,0,489182,Office,Parking,93.80000305,32633842.0,3744742.0
Large Office,DOWNTOWN,1929,1.0,27,216571,13320,203251,Office,Parking,86.0,8704772.0,127447.0
Large Office,DOWNTOWN,1921,1.0,13,189175,0,189175,Office,Other,115.8000031,19036413.0,0.0
Large Office,DOWNTOWN,1998,1.0,13,293803,74481,219322,Office,Parking,117.4000015,17074139.0,0.0
Large Office,DOWNTOWN,1910,1.0,7,122356,0,122356,Office,Retail Store,41.09999847,4371815.0,213255.0
Small- and Mid-Sized Office,DOWNTOWN,1921,1.0,3,52298,0,52298,Office,,39.20000076,1968655.0,0.0
Large Office,DOWNTOWN,1911,1.0,17,116640,0,116640,Office,Financial Office,70.30000305,5021914.0,0.0
Large Office,DOWNTOWN,1981,1.0,42,1249055,201121,1047934,Office,Parking,38.0,37980705.0,0.0
Medical Office,EAST,1988,1.0,5,188339,99314,89025,Medical Office,Parking,104.0999985,7873601.0,649993.0
University,CENTRAL,1916,1.0,2,60122,0,60122,College/University,Parking,11.5,593029.0,97500.0
Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,6,95000,13700,81300,Office,Parking,48.0,3983832.0,68888.0
Large Office,DOWNTOWN,1971,1.0,9,224857,0,224857,Office,,74.5,11225008.0,0.0
Large Office,DOWNTOWN,1998,1.0,8,446261,124788,321473,Office,Parking,39.5,13568146.0,0.0
Other,GREATER DUWAMISH,1939,1.0,2,58492,0,58492,Other,,27.29999924,717806.0,876616.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1907,1.0,6,62370,0,62370,Office,Restaurant,72.69999695,4353024.0,0.0
Warehouse,GREATER DUWAMISH,1960,1.0,1,73296,0,73296,Non-Refrigerated Warehouse,Parking,30.29999924,1117577.0,1238800.0
Other,GREATER DUWAMISH,1944,1.0,4,99122,0,99122,Other,Office,146.0,12766128.0,1703098.0
Other,GREATER DUWAMISH,1985,1.0,1,66133,0,66133,Other,Office,82.40000153,5354420.0,990589.0
Warehouse,GREATER DUWAMISH,1952,1.0,2,115668,0,115668,Non-Refrigerated Warehouse,Office,30.79999924,1657935.0,1876755.0
Other,GREATER DUWAMISH,1970,1.0,1,141686,0,141686,Other,,43.79999924,6673137.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1950,1.0,1,93610,0,93610,Office,Data Center,61.29999924,3877758.0,2358189.0
Large Office,GREATER DUWAMISH,1973,1.0,2,156188,0,156188,Office,Parking,48.20000076,6557481.0,286373.0
Warehouse,GREATER DUWAMISH,1966,1.0,1,115620,0,115620,Non-Refrigerated Warehouse,,34.29999924,1951856.0,0.0
Large Office,GREATER DUWAMISH,1975,1.0,5,238148,0,238148,Office,Parking,43.90000153,10775645.0,0.0
Distribution Center,GREATER DUWAMISH,1969,1.0,1,71718,0,71718,Distribution Center,,2.099999905,151754.0,0.0
Warehouse,GREATER DUWAMISH,1969,1.0,1,55450,0,55450,Non-Refrigerated Warehouse,Office,78.40000153,2149197.0,2196501.0
Distribution Center,GREATER DUWAMISH,1979,1.0,1,54880,0,54880,Distribution Center,,50.20000076,1240788.0,1522809.0
Retail Store,DELRIDGE,1992,1.0,1,102500,0,102500,Retail Store,Parking,73.40000153,4972873.0,2332600.0
Other,NORTHEAST,2002,1.0,6,361398,272900,88498,Parking,Retail Store,108.5,7663584.0,1251938.0
Supermarket / Grocery Store,GREATER DUWAMISH,1963,1.0,1,50785,0,50785,Supermarket/Grocery Store,,271.7000122,4327325.0,3111684.0
Small- and Mid-Sized Office,Delridge,1929,1.0,3,85126,0,85126,Office,,465.5,18610055.0,685132.0
Other,North,2000,1.0,5,303255,19820,283435,Parking,Retail Store,36.5,10602152.0,474987.0
Distribution Center,GREATER DUWAMISH,1986,1.0,1,411584,0,411584,Distribution Center,Non-Refrigerated Warehouse,37.0,7501894.0,7589685.0
Mixed Use Property,DOWNTOWN,1902,1.0,4,73320,0,73320,Non-Refrigerated Warehouse,Office,20.0,681682.0,459508.0
Large Office,MAGNOLIA / QUEEN ANNE,2008,1.0,4,242686,100176,142510,Office,Parking,65.0,9683978.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,95760,15840,79920,Office,,56.29999924,4593859.0,798758.0
Warehouse,GREATER DUWAMISH,1946,1.0,1,179413,0,179413,Non-Refrigerated Warehouse,,19.39999962,3459542.0,0.0
Warehouse,GREATER DUWAMISH,1917,0.0,1,65288,0,65288,Non-Refrigerated Warehouse,Other - Services,8.600000381,605971.0,0.0
Warehouse,Delridge,1966,1.0,1,170632,0,170632,Non-Refrigerated Warehouse,Office,3.5,602245.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,1994,1.0,10,381511,0,381511,Office,Parking,51.90000153,10834205.0,576022.0
Large Office,DOWNTOWN,2009,1.0,17,413264,138098,275166,Office,Parking,46.09999847,13631140.0,0.0
Mixed Use Property,NORTHEAST,2009,1.0,6,122400,54300,68100,Office,Parking,68.30000305,3880094.0,985457.0
Retail Store,NORTHEAST,1956,1.0,2,93803,0,93803,Retail Store,Restaurant,58.79999924,3884335.0,1569103.0
K-12 School,CENTRAL,1988,1.0,1,52924,0,52924,K-12 School,,0.0,1957268.0,0.0
Warehouse,GREATER DUWAMISH,1966,1.0,2,123000,0,123000,Non-Refrigerated Warehouse,Office,21.89999962,3004271.0,0.0
Medical Office,EAST,2003,1.0,5,275130,112980,162150,Medical Office,,55.90000153,9941307.0,0.0
Warehouse,GREATER DUWAMISH,1978,1.0,1,60448,0,60448,Non-Refrigerated Warehouse,Office,17.39999962,620853.0,431392.0
Hospital,EAST,1994,7.0,14,1765970,0,1765970,Hospital (General Medical & Surgical),Parking,177.8999939,139354828.0,17316120.0
Other,MAGNOLIA / QUEEN ANNE,1928,3.0,4,62600,0,62600,Other,,51.79999924,4031128.0,7116213.0
Mixed Use Property,EAST,2004,1.0,4,77412,21612,55800,Other,Office,58.20000076,2604783.0,50604.0
Medical Office,EAST,1990,1.0,5,289419,159157,130262,Medical Office,Parking,87.09999847,11761550.0,969837.0
Other,NORTH,1987,1.0,5,90266,0,90266,Financial Office,,88.80000305,7771933.0,0.0
Warehouse,Ballard,2004,1.0,4,87332,6458,80874,Non-Refrigerated Warehouse,,13.30000019,1027649.0,137950.0
Hotel,EAST,2003,1.0,6,150545,50017,100528,Hotel,Parking,133.3999939,5601497.0,7808543.0
Other,MAGNOLIA / QUEEN ANNE,1999,1.0,5,141718,0,141718,Other - Entertainment/Public Assembly,Restaurant,136.3000031,14573159.0,4512014.0
Hotel,MAGNOLIA / QUEEN ANNE,2008,1.0,5,111856,21273,90583,Hotel,Parking,98.40000153,4825247.0,4619236.0
Warehouse,EAST,1988,1.0,4,132828,0,132828,Non-Refrigerated Warehouse,,8.199999809,1083729.0,0.0
Warehouse,DELRIDGE,1970,1.0,1,70400,0,70400,Non-Refrigerated Warehouse,Office,198.3000031,9916987.0,4045761.0
Retail Store,NORTHWEST,1995,1.0,1,101830,0,101830,Retail Store,,81.90000153,5935365.0,4777640.0
K-12 School,CENTRAL,1988,1.0,3,55353,0,55353,K-12 School,,0.0,1433596.0,0.0
University,CENTRAL,1974,2.0,4,114000,0,114000,College/University,,66.40000153,6341815.0,1233264.0
Other,GREATER DUWAMISH,2002,1.0,3,338063,0,338063,Other,"Repair Services (Vehicle, Shoe, Locksmith, etc)",61.20000076,18175883.0,2500035.0
Warehouse,SOUTHWEST,1965,1.0,1,152365,0,152365,Non-Refrigerated Warehouse,Office,6.800000191,948207.0,121543.0
Medical Office,CENTRAL,1910,1.0,6,320946,0,320946,Medical Office,Laboratory,78.90000153,25205084.0,266222.0
Retail Store,GREATER DUWAMISH,1958,1.0,1,74178,0,74178,Retail Store,,72.80000305,3296324.0,2105856.0
Warehouse,NORTH,1987,1.0,4,80360,0,80360,Non-Refrigerated Warehouse,,8.5,437019.0,249000.0
K-12 School,SOUTHWEST,1950,1.0,1,61183,0,61183,K-12 School,,38.5,720406.0,1704318.0
Supermarket / Grocery Store,EAST,1996,1.0,3,119190,0,119190,Supermarket/Grocery Store,,217.8000031,5813407.0,4264124.0
Other,GREATER DUWAMISH,2008,1.0,2,51856,0,51856,Automobile Dealership,Office,37.40000153,1938613.0,0.0
Mixed Use Property,GREATER DUWAMISH,1921,1.0,3,66138,12586,53552,Office,Manufacturing/Industrial Plant,139.8000031,7070998.0,0.0
Large Office,NORTHEAST,1960,1.0,3,113944,48510,65434,Office,,273.2999878,17791664.0,88516.0
Worship Facility,NORTHEAST,1957,1.0,2,22220,0,22220,Worship Facility,,35.0,208060.0,570296.0
K-12 School,NORTHEAST,1955,1.0,1,46732,0,46732,K-12 School,,45.79999924,753694.0,1578259.0
Mixed Use Property,GREATER DUWAMISH,1962,1.0,1,44700,0,44700,Office,Other,42.70000076,1689972.0,352799.0
Warehouse,GREATER DUWAMISH,1976,1.0,1,44100,0,44100,Non-Refrigerated Warehouse,,40.5,1618916.0,0.0
Distribution Center,GREATER DUWAMISH,1965,1.0,1,27800,0,27800,Distribution Center,,44.0,880605.0,343581.0
Warehouse,GREATER DUWAMISH,2001,1.0,1,46340,0,46340,Non-Refrigerated Warehouse,,55.29999924,2564004.0,0.0
Other,GREATER DUWAMISH,1994,3.0,1,22800,0,22800,Manufacturing/Industrial Plant,,97.5,358020.0,1864077.0
Small- and Mid-Sized Office,CENTRAL,1910,1.0,3,38460,0,38460,Office,,50.70000076,1464669.0,486044.0
Worship Facility,NORTHWEST,1922,1.0,2,21022,0,21022,Worship Facility,,45.0,137902.0,807343.0
K-12 School,SOUTHWEST,1954,1.0,2,51489,0,51489,K-12 School,,38.5,750281.0,1233786.0
Distribution Center,GREATER DUWAMISH,1967,1.0,1,48001,0,48001,Distribution Center,,44.70000076,593580.0,1550071.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,26380,0,26380,Non-Refrigerated Warehouse,Office,19.29999924,508416.0,708.0
Warehouse,GREATER DUWAMISH,1969,1.0,1,37351,0,37351,Non-Refrigerated Warehouse,Office,65.40000153,1276462.0,1283000.0
Warehouse,GREATER DUWAMISH,1981,1.0,1,30375,0,30375,Non-Refrigerated Warehouse,,11.39999962,345867.0,0.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,30004,0,30004,Non-Refrigerated Warehouse,Office,12.60000038,369291.0,0.0
Other,NORTHEAST,1928,1.0,3,39971,0,39971,Other,Retail Store,274.2000122,3598398.0,7361709.0
Worship Facility,BALLARD,1914,1.0,2,33589,0,33589,Worship Facility,,15.19999981,111626.0,398210.0
Small- and Mid-Sized Office,BALLARD,1979,1.0,3,43500,0,43500,Office,,74.0,3216396.0,4239.0
Small- and Mid-Sized Office,BALLARD,1978,1.0,2,28492,0,28492,Office,,66.59999847,1363957.0,532342.0
Small- and Mid-Sized Office,BALLARD,1963,1.0,3,22325,0,22325,Office,Medical Office,62.79999924,1401316.0,0.0
Restaurant,BALLARD,1977,1.0,3,22719,0,22719,Restaurant,Parking,59.79999924,1358519.0,0.0
Laboratory,DOWNTOWN,1946,1.0,2,44588,22000,22588,Laboratory,,105.0999985,7251588.0,0.0
K-12 School,CENTRAL,1925,1.0,2,37327,0,37327,K-12 School,,40.20000076,724560.0,1242916.0
Retail Store,DOWNTOWN,1917,1.0,2,147545,0,147545,Retail Store,,46.0,4133510.0,2653559.0
Other,NORTH,1923,1.0,2,21462,0,21462,Other,Office,42.90000153,1114384.0,0.0
K-12 School,NORTHWEST,1930,1.0,2,47602,0,47602,K-12 School,,48.79999924,777836.0,1471756.0
Other,NORTHWEST,1917,1.0,2,28072,0,28072,Social/Meeting Hall,,57.20000076,192436.0,1170087.0
Restaurant,DOWNTOWN,1955,1.0,2,31020,0,31020,Restaurant,,160.1999969,1221601.0,3748445.0
Small- and Mid-Sized Office,DOWNTOWN,1917,1.0,2,21600,0,21600,Office,Other - Lodging/Residential,75.80000305,1241985.0,394664.0
Small- and Mid-Sized Office,DOWNTOWN,1974,1.0,5,61825,13320,48505,Office,Bank Branch,104.0999985,1915699.0,2407174.0
Small- and Mid-Sized Office,DOWNTOWN,1942,1.0,3,64630,0,64630,Office,,21.79999924,1408291.0,0.0
Worship Facility,DOWNTOWN,1948,1.0,2,20920,0,20920,Worship Facility,,49.79999924,285047.0,757062.0
Worship Facility,SOUTHWEST,1926,1.0,2,22128,0,22128,Worship Facility,,27.5,153306.0,455054.0
Retail Store,NORTHWEST,1968,1.0,1,48139,0,48139,Retail Store,,21.5,468402.0,390834.0
Other,NORTHWEST,2002,1.0,1,29924,0,29924,Other - Education,,0.0,0.0,0.0
Worship Facility,SOUTHWEST,1949,1.0,2,21364,0,21364,Worship Facility,K-12 School,45.20000076,162220.0,803431.0
University,DOWNTOWN,1992,1.0,2,28923,0,28923,College/University,,15.30000019,174768.0,264544.0
University,DOWNTOWN,1928,1.0,3,21600,0,21600,College/University,,15.0,235546.0,88193.0
Retail Store,NORTHEAST,1996,1.0,1,25735,0,25735,Retail Store,,45.5,953695.0,215700.0
Retail Store,NORTHEAST,1956,1.0,2,25862,0,25862,Retail Store,Other,185.6999969,2185523.0,2615949.0
Retail Store,NORTHEAST,2003,1.0,2,49965,0,49965,Retail Store,Other,67.59999847,3247196.0,130013.0
Small- and Mid-Sized Office,DOWNTOWN,1929,1.0,2,20028,0,20028,Office,,25.60000038,360055.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,7,23622,0,23622,Office,Restaurant,19.39999962,419848.0,132159.0
Small- and Mid-Sized Office,DOWNTOWN,1902,1.0,3,23563,0,23563,Office,Restaurant,37.5,883198.0,0.0
Mixed Use Property,DOWNTOWN,1903,1.0,3,28600,0,28600,Office,Retail Store,40.90000153,697769.0,364954.0
Mixed Use Property,DOWNTOWN,1978,1.0,2,38539,12379,26160,Retail Store,Parking,83.59999847,2186018.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1906,1.0,5,26840,0,26840,Office,,68.5,1989287.0,0.0
Retail Store,DOWNTOWN,1906,1.0,2,46800,0,46800,Retail Store,Office,26.60000038,1245187.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1979,1.0,3,63990,26640,37350,Office,Parking,53.0,2062620.0,4732.0
Small- and Mid-Sized Office,DOWNTOWN,1908,1.0,3,28800,0,28800,Office,Other,38.40000153,923904.0,421122.0
Small- and Mid-Sized Office,DOWNTOWN,1954,1.0,3,33552,4968,28584,Office,Parking,63.90000153,643674.0,1053305.0
Retail Store,DOWNTOWN,1931,1.0,2,26270,0,26270,Retail Store,,59.40000153,1064100.0,496361.0
Small- and Mid-Sized Office,DOWNTOWN,1926,1.0,3,57620,7820,49800,Office,Parking,47.90000153,2385395.0,0.0
Mixed Use Property,DOWNTOWN,1954,1.0,2,28696,6080,22616,Other,Bank Branch,20.20000076,418348.0,0.0
Hotel,DOWNTOWN,1990,1.0,5,57800,0,57800,Hotel,,42.29999924,1375435.0,1067630.0
Other,DOWNTOWN,1955,1.0,2,31890,0,31890,Financial Office,,59.59999847,1858224.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1925,1.0,2,44098,13660,30438,Office,Parking,55.59999847,991378.0,0.0
Restaurant,DOWNTOWN,1923,1.0,3,22381,0,22381,Restaurant,,157.8999939,1319044.0,2213922.0
Laboratory,DOWNTOWN,1926,0.0,4,49249,0,49249,Laboratory,Office,696.7000122,10854749.0,22413661.0
Retail Store,DOWNTOWN,1925,1.0,1,24825,1263,23562,Retail Store,Non-Refrigerated Warehouse,18.0,264519.0,175002.0
Medical Office,DOWNTOWN,1952,1.0,4,26670,0,26670,Medical Office,,58.20000076,1553175.0,33.0
Other,DOWNTOWN,1922,1.0,2,37740,0,37740,Fire Station,,79.5,1699362.0,1396520.0
Small- and Mid-Sized Office,DOWNTOWN,1965,1.0,1,23752,0,23752,Office,Retail Store,44.90000153,571058.0,496096.0
